id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1615033248 ,f9af0bd4-c352-38e2-9fae-44c8e7eaa940,  -12.638140 ,  -44.457650 ,2023-01-02 17:11:00,Brasil,BAHIA,BAIANÓPOLIS,Cerrado
 1615033249 ,346ad198-f0bf-3492-a332-3fc623cf498f,  -12.921640 ,  -45.824810 ,2023-01-02 17:11:00,Brasil,BAHIA,SÃO DESIDÉRIO,Cerrado
 1615033250 ,442e41c5-97ba-399b-9b21-2b0e88d936b8,  -12.923980 ,  -45.839070 ,2023-01-02 17:11:00,Brasil,BAHIA,SÃO DESIDÉRIO,Cerrado
 1615095684 ,4e0eb945-9240-313e-892d-9cd066e9272d,  -13.256980 ,  -43.412870 ,2023-01-03 16:17:00,Brasil,BAHIA,BOM JESUS DA LAPA,Cerrado
 1615095685 ,4f2b9274-e2cf-3f0b-a4b0-fc286bfe17c8,  -13.610950 ,  -41.146360 ,2023-01-03 16:17:00,Brasil,BAHIA,BARRA DA ESTIVA,Caatinga
 1615355296 ,0810b2fa-5d1e-3931-8722-853bb65e6fb8,  -10.260560 ,  -42.663300 ,2023-01-05 16:05:00,Brasil,BAHIA,PILÃO ARCADO,Caatinga
 1615488568 ,7a3aca2b-a778-37f9-956e-7ce26e606198,  -12.469490 ,  -44.488360 ,2023-01-06 16:47:00,Brasil,BAHIA,BAIANÓPOLIS,Cerrado
 1615614355 ,ef1b1ef2-a29b-3620-a1a7-c7aace342da6,  -10.292680 ,  -38.404430 ,2023-01-07 15:52:00,Brasil,BAHIA,SÍTIO DO QUINTO,Caatinga
 1615614375 ,64e86bcb-679c-354e-9c56-d4c9c19ceb78,  -10.292610 ,  -38.409070 ,2023-01-07 15:52:00,Brasil,BAHIA,SÍTIO DO QUINTO,Caatinga
 1615614377 ,5414cfd4-a14a-34dd-9b9d-c06c3844e359,  -13.869090 ,  -40.096120 ,2023-01-07 15:50:00,Brasil,BAHIA,JEQUIÉ,Mata Atlântica
 1615729870 ,e9942cfb-93c0-3299-9423-987d6f6d7b75,  -14.100790 ,  -39.975660 ,2023-01-08 16:32:00,Brasil,BAHIA,ITAGI,Mata Atlântica
 1615729875 ,15047109-60da-3e81-a607-1b571cca979f,  -14.102120 ,  -39.984860 ,2023-01-08 16:32:00,Brasil,BAHIA,ITAGI,Mata Atlântica
 1615977543 ,7939d942-df67-3a64-b1e3-b51269fc6256,  -12.180450 ,  -43.609550 ,2023-01-10 16:20:00,Brasil,BAHIA,MUQUÉM DO SÃO FRANCISCO,Cerrado
 1615977546 ,3949ac77-f2ab-3848-896d-ff5f04a3cbc6,  -12.309930 ,  -38.883130 ,2023-01-10 16:20:00,Brasil,BAHIA,FEIRA DE SANTANA,Caatinga
 1615977547 ,e6eaf4c2-116a-3772-90c9-32ce9e6fe63d,  -12.394160 ,  -40.872120 ,2023-01-10 16:20:00,Brasil,BAHIA,LAJEDINHO,Caatinga
 1615977555 ,41fbb55e-1366-3a68-bb66-0f23e4ada4a4,  -12.727110 ,  -44.460560 ,2023-01-10 16:20:00,Brasil,BAHIA,BAIANÓPOLIS,Cerrado
