id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1733589829 ,571d268e-15b8-3978-9cf1-e60e3c61bd42,  -14.914380 ,  -41.796360 ,2024-11-20 16:54:00,Brasil,BAHIA,PIRIPÁ,Caatinga
 1733589840 ,f827532f-3474-3efa-bceb-9cf3678586da,  -12.283520 ,  -38.266050 ,2024-11-20 16:54:00,Brasil,BAHIA,POJUCA,Mata Atlântica
 1733589841 ,56d79b4c-9fe9-354e-ba3f-81bebb6fcb62,  -14.232960 ,  -41.570770 ,2024-11-20 16:54:00,Brasil,BAHIA,BRUMADO,Caatinga
 1733589864 ,b1600fd6-6674-3c97-a890-b1a95d6d3aed,  -11.259610 ,  -44.785780 ,2024-11-20 16:56:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado
 1733589865 ,334c1304-5648-34fd-a9b6-a5a7335ad29e,  -17.197680 ,  -39.295010 ,2024-11-20 16:54:00,Brasil,BAHIA,PRADO,Mata Atlântica
 1733589871 ,4fcd1300-9568-38d8-97ad-26957a0eafe4,  -14.546160 ,  -41.776440 ,2024-11-20 16:54:00,Brasil,BAHIA,PRESIDENTE JÂNIO QUADROS,Caatinga
 1733589885 ,eb0fedd3-f79e-3bff-a19d-0f3f70bedd4b,  -14.234810 ,  -42.414260 ,2024-11-20 16:54:00,Brasil,BAHIA,CAETITÉ,Caatinga
 1733589890 ,a09aa5e1-e47a-3cc9-bfd0-70d2efb1c17e,  -14.996040 ,  -41.277480 ,2024-11-20 16:54:00,Brasil,BAHIA,TREMEDAL,Mata Atlântica
 1733589895 ,9e172c9f-db99-3f04-b12f-6b1868da2b86,  -17.535690 ,  -39.237790 ,2024-11-20 16:54:00,Brasil,BAHIA,ALCOBAÇA,Mata Atlântica
 1733589897 ,1459b0e5-299b-3744-ac77-cb9dca6432ed,  -14.917580 ,  -41.790800 ,2024-11-20 16:54:00,Brasil,BAHIA,PIRIPÁ,Caatinga
 1733589902 ,1c4a3315-c628-3f00-94c0-9027d7c45044,  -13.735880 ,  -40.353980 ,2024-11-20 16:54:00,Brasil,BAHIA,JEQUIÉ,Caatinga
 1733589905 ,e0e48a91-3361-372e-b86f-3719b1037c7b,  -12.020620 ,  -40.848330 ,2024-11-20 16:54:00,Brasil,BAHIA,MUNDO NOVO,Caatinga
 1733589911 ,a03f1517-e3c6-3974-a30e-c7249adddcc5,  -10.609330 ,  -44.301330 ,2024-11-20 16:56:00,Brasil,BAHIA,SANTA RITA DE CÁSSIA,Cerrado
 1733589916 ,f50b54e8-ca20-377e-8885-c9f344df2bc4,  -10.457170 ,  -40.383120 ,2024-11-20 16:56:00,Brasil,BAHIA,CAMPO FORMOSO,Caatinga
 1733589937 ,ac62cea4-22e9-3a55-9eb1-9c1a16887f1f,  -14.872160 ,  -41.857910 ,2024-11-20 16:54:00,Brasil,BAHIA,CONDEÚBA,Caatinga
 1733589944 ,fd02bb25-d238-39ef-8215-58fb77713ee8,  -14.550010 ,  -41.770710 ,2024-11-20 16:54:00,Brasil,BAHIA,PRESIDENTE JÂNIO QUADROS,Caatinga
 1733589953 ,9dbde5f6-4a13-32da-8485-f47f2d66233a,  -17.647400 ,  -40.254670 ,2024-11-20 16:54:00,Brasil,BAHIA,LAJEDÃO,Mata Atlântica
